timestamp,agent.name,rule.description,rule.level,rule.id
"May 7, 2025 @ 05:06:01.309","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.292","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.276","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.261","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.245","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.229","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.214","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.184","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.167","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.151","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.135","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.120","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.105","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.089","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.074","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.058","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.028","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.027","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.995","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
